id,Installation Year,Length,Material,Diameter,Service Connections,Air Release Valve,Fire Hydrants,Outlets,Road Intersections,Elevation,Near Railways,Soil,Landuse,GWT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
20,2001,30.18,ST,2514.6,13,0,1,0,yes,39.32,no,sand,commercial,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2009,30.18,DI,2514.6,7,0,0,1,yes,40.2,no,sand,residential,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2007,30.18,PVC,2514.6,6,0,1,0,yes,35.51,yes,silt,commercial,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1999,375.21,ST,609.6,7,0,0,1,no,0.0,no,sand,residential,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1981,4328.16,DI,457.2,9,0,1,0,no,28.8,no,sand,industrial,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2006,411.48,ST,406.4,6,0,0,0,no,12.95,no,clay,commercial,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,1989,774.19,PE,304.8,8,0,0,0,no,10.74,no,clay,residential,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2004,448.06,PE,304.8,10,1,0,0,yes,7.7,no,silt,industrial,1.47,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,1988,1200.91,DI,406.4,8,0,0,0,no,9.65,no,sand,residential,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2007,609.6,PVC,304.8,7,0,1,0,no,4.62,yes,clay,residential,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2006,353.57,PVC,304.8,3,0,0,0,yes,3.66,no,silt,residential,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1987,512.06,ST,304.8,6,0,0,0,no,1.83,no,sand,commercial,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
114,2010,609.6,PVC,203.2,6,0,1,1,no,2.44,no,clay,residential,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1999,594.36,PE,203.2,6,0,0,0,no,5.49,no,sand,residential,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2011,505.97,PVC,304.8,13,0,0,1,no,3.05,no,clay,residential,1.58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
